station,shuttle,launch,option,redesign
writes,oort,diesels,cloud,ray
oil,service,come,change,lights
edu,gif,uci,ics,incoming
engine,power,turbo,steering,torque
bill,moon,george,back,howell
book,car,auto,price,blue
large,etc,temperature,earth,day
system,mars,spacecraft,part,such
sky,light,rights,people,night
insurance,geico,good,questions,radar
cost,want,saturn,years,extra
cars,manual,toyota,seat,small
henry,hst,mission,toronto,spencer
clutch,car,shifter,sho,shift
edu,article,writes,apr,engines
space,science,internet,information,world
car,ford,probe,speed,nice
don,make,even,find,people
edu,writes,article,mustang,blah
